Country/Region,unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Myanmar,tCO2e per capita,0.26,0.26,0.19,0.20,0.26,0.30,0.23,0.25,0.31,0.42,0.48,0.44,0.49,0.49
Jordan,tCO2e per capita,3.43,3.43,3.16,3.10,2.84,2.77,2.94,2.79,2.90,2.73,2.51,2.60,2.50,2.58
Cuba,tCO2e per capita,2.34,2.29,2.47,2.50,3.02,2.60,2.62,2.46,2.43,2.57,2.47,2.22,2.30,2.29
Sri Lanka,tCO2e per capita,0.60,0.61,0.60,0.64,0.64,0.73,0.77,0.71,0.85,0.95,1.09,1.07,1.06,1.14
Sudan,tCO2e per capita,0.35,0.40,0.41,0.42,0.42,0.40,0.40,0.44,0.44,0.52,0.48,0.53,0.54,0.54
Bolivia,tCO2e per capita,1.59,1.27,1.34,1.37,1.46,1.57,1.75,1.75,1.83,1.79,1.88,1.95,1.97,1.96
Guatemala,tCO2e per capita,0.92,0.90,0.79,0.82,0.78,0.77,0.78,0.84,0.89,0.99,1.03,1.07,1.19,1.24
Croatia,tCO2e per capita,5.46,5.76,5.48,5.07,4.90,4.83,4.48,4.34,4.18,4.24,4.34,4.54,4.33,4.40
Kenya,tCO2e per capita,0.25,0.25,0.25,0.29,0.28,0.30,0.27,0.28,0.29,0.34,0.35,0.33,0.33,0.33
Ethiopia,tCO2e per capita,0.07,0.07,0.08,0.08,0.07,0.08,0.09,0.10,0.12,0.13,0.14,0.15,0.15,0.15
Cambodia,tCO2e per capita,0.22,0.25,0.27,0.32,0.35,0.35,0.36,0.36,0.43,0.54,0.62,0.70,0.95,0.97
Ghana,tCO2e per capita,0.41,0.42,0.38,0.31,0.39,0.44,0.55,0.53,0.54,0.58,0.58,0.47,0.49,0.49
Nepal,tCO2e per capita,0.09,0.10,0.13,0.15,0.18,0.19,0.20,0.23,0.28,0.22,0.32,0.37,0.48,0.49
Estonia,tCO2e per capita,12.03,14.80,13.21,10.74,14.11,14.20,13.37,14.83,14.27,12.02,13.21,14.15,13.40,10.47
Slovenia,tCO2e per capita,8.54,8.56,9.01,8.01,7.99,7.97,7.69,7.37,6.56,6.60,6.98,6.90,6.99,6.56
Lithuania,tCO2e per capita,4.41,4.89,4.75,4.12,4.50,4.71,4.80,4.51,4.46,4.58,4.65,4.79,4.88,4.84
Côte d'Ivoire,tCO2e per capita,0.36,0.34,0.34,0.27,0.30,0.30,0.39,0.43,0.43,0.40,0.50,0.49,0.50,0.50
Panama,tCO2e per capita,2.17,2.08,2.08,2.35,2.49,2.69,2.59,2.96,2.78,2.74,2.59,2.91,2.90,2.94
Tanzania,tCO2e per capita,0.15,0.14,0.14,0.13,0.16,0.17,0.19,0.20,0.20,0.21,0.20,0.20,0.20,0.20
Kyrgyzstan,tCO2e per capita,1.04,1.24,1.42,1.25,1.16,1.37,1.78,1.69,1.73,1.73,1.59,1.49,1.61,1.78
Honduras,tCO2e per capita,0.90,1.10,1.07,0.99,0.96,1.02,1.04,1.05,1.04,1.11,1.03,1.05,1.09,1.12
Afghanistan,tCO2e per capita,0.06,0.08,0.15,0.24,0.29,0.40,0.33,0.26,0.23,0.23,0.19,0.19,0.28,0.28
Zimbabwe,tCO2e per capita,0.85,0.80,0.62,0.44,0.62,0.74,0.58,0.87,0.88,0.88,0.77,0.72,0.79,0.71
Georgia,tCO2e per capita,1.57,1.65,1.38,1.61,1.64,2.08,2.21,2.15,2.36,2.57,2.66,2.64,2.65,2.76
Yemen,tCO2e per capita,1.02,0.97,1.01,1.08,1.00,0.85,0.75,0.99,0.94,0.49,0.38,0.36,0.35,0.35
Senegal,tCO2e per capita,0.39,0.42,0.39,0.38,0.57,0.60,0.55,0.57,0.62,0.68,0.66,0.61,0.61,0.60
Luxembourg,tCO2e per capita,25.25,23.61,22.91,21.39,22.13,21.44,20.44,18.96,17.66,16.39,15.60,15.51,15.74,15.78
Brunei,tCO2e per capita,12.80,22.16,23.70,20.18,20.74,24.24,23.79,18.86,21.78,16.76,17.97,22.50,22.29,20.98
Tajikistan,tCO2e per capita,0.38,0.45,0.40,0.33,0.33,0.30,0.37,0.36,0.54,0.61,0.73,0.77,0.82,0.96
Mozambique,tCO2e per capita,0.09,0.10,0.10,0.11,0.11,0.13,0.12,0.16,0.31,0.23,0.28,0.28,0.28,0.29
Costa Rica,tCO2e per capita,1.61,1.81,1.79,1.71,1.64,1.58,1.55,1.61,1.62,1.53,1.62,1.66,1.65,1.69
Paraguay,tCO2e per capita,0.66,0.67,0.70,0.74,0.80,0.82,0.81,0.79,0.83,0.90,1.06,1.17,1.16,1.17
Latvia,tCO2e per capita,3.74,3.92,3.76,3.48,4.08,3.79,3.69,3.67,3.60,3.68,3.68,3.72,4.08,4.32
Macedonia,tCO2e per capita,5.25,4.54,4.50,4.15,4.11,4.44,4.21,3.74,3.59,3.38,3.36,3.61,3.35,3.86
Jamaica,tCO2e per capita,4.20,3.88,3.87,2.84,2.73,2.92,2.78,2.97,2.67,2.75,2.80,2.67,2.73,2.72
Benin,tCO2e per capita,0.45,0.51,0.49,0.50,0.54,0.52,0.48,0.49,0.51,0.57,0.62,0.66,0.68,0.68
Cameroon,tCO2e per capita,0.21,0.30,0.28,0.33,0.33,0.31,0.29,0.23,0.30,0.33,0.35,0.31,0.30,0.29
Cyprus,tCO2e per capita,7.87,8.03,8.05,7.70,7.27,6.90,6.37,5.73,6.02,5.99,6.30,6.37,6.17,6.10
Papua New Guinea,tCO2e per capita,0.65,0.90,0.69,0.71,0.64,0.70,0.65,0.68,0.76,0.78,0.81,0.78,0.79,0.81
Zambia,tCO2e per capita,0.18,0.15,0.16,0.18,0.19,0.20,0.24,0.25,0.28,0.27,0.30,0.39,0.40,0.38
Uruguay,tCO2e per capita,1.98,1.78,2.46,2.37,1.87,2.27,2.54,2.21,1.96,1.95,1.91,1.80,1.81,1.84
Botswana,tCO2e per capita,2.25,2.25,2.35,1.97,2.28,2.00,2.49,2.75,3.28,2.56,2.93,3.20,3.02,2.74
El Salvador,tCO2e per capita,1.10,1.12,1.04,1.03,1.02,1.05,1.04,0.97,0.98,1.06,1.04,0.94,0.94,0.96
Armenia,tCO2e per capita,1.49,1.74,1.92,1.51,1.48,1.73,1.99,1.91,1.91,1.73,1.76,1.86,2.13,2.03
Moldova,tCO2e per capita,1.75,1.73,1.81,1.58,1.69,1.73,1.67,1.71,1.66,1.69,1.75,1.92,2.17,2.24
Equatorial Guinea,tCO2e per capita,8.87,6.85,8.15,7.49,7.28,9.00,7.31,7.17,6.51,5.51,5.11,4.74,4.51,4.15
Albania,tCO2e per capita,1.28,1.29,1.45,1.45,1.53,1.73,1.61,1.70,1.95,1.57,1.56,1.88,1.88,1.95
Nicaragua,tCO2e per capita,0.80,0.81,0.77,0.77,0.77,0.81,0.76,0.72,0.75,0.84,0.86,0.84,0.83,0.85
Uganda,tCO2e per capita,0.08,0.09,0.09,0.10,0.11,0.11,0.10,0.11,0.11,0.12,0.12,0.13,0.13,0.12
Gabon,tCO2e per capita,2.90,2.78,2.74,2.70,2.94,2.93,2.88,2.90,2.82,2.69,2.64,2.32,2.27,2.17
Mauritius,tCO2e per capita,2.94,2.97,3.03,2.97,3.13,3.13,3.16,3.23,3.34,3.33,3.44,3.59,3.87,3.70
Burkina Faso,tCO2e per capita,0.10,0.11,0.12,0.12,0.13,0.13,0.16,0.17,0.17,0.18,0.18,0.21,0.21,0.21
Namibia,tCO2e per capita,1.18,1.18,1.63,1.47,1.46,1.28,1.53,1.16,1.63,1.68,1.75,1.71,1.70,1.67
Mauritania,tCO2e per capita,0.46,0.51,0.54,0.58,0.56,0.59,0.63,0.54,0.64,0.71,0.66,0.87,0.89,0.90
Madagascar,tCO2e per capita,0.09,0.09,0.09,0.09,0.09,0.11,0.12,0.14,0.13,0.15,0.13,0.15,0.16,0.15
Republic of Congo,tCO2e per capita,0.30,0.31,0.33,0.42,0.46,0.51,0.65,0.69,0.66,0.71,0.74,0.69,0.67,0.64
Mali,tCO2e per capita,0.08,0.10,0.11,0.12,0.13,0.14,0.14,0.16,0.17,0.18,0.17,0.17,0.17,0.17
Iceland,tCO2e per capita,10.42,11.27,12.05,11.74,11.51,11.00,10.92,10.79,10.60,10.72,10.43,10.53,10.42,9.19
Palestine,tCO2e per capita,0.66,0.66,0.57,0.57,0.54,0.58,0.55,0.60,0.68,0.70,0.74,0.73,0.70,0.71
Haiti,tCO2e per capita,0.22,0.25,0.25,0.23,0.21,0.21,0.21,0.22,0.26,0.30,0.30,0.30,0.30,0.29
Togo,tCO2e per capita,0.26,0.26,0.25,0.44,0.40,0.38,0.33,0.31,0.31,0.37,0.41,0.40,0.40,0.40
Guinea,tCO2e per capita,0.20,0.21,0.21,0.21,0.24,0.25,0.23,0.19,0.19,0.21,0.23,0.24,0.24,0.25
Suriname,tCO2e per capita,3.44,3.44,3.74,3.81,4.53,4.07,4.87,5.02,5.13,4.89,4.12,4.42,4.43,4.48
Montenegro,tCO2e per capita,3.35,3.34,4.23,2.72,3.91,3.89,3.56,3.46,3.39,3.60,3.25,3.37,3.41,3.96
Guyana,tCO2e per capita,2.02,2.39,2.29,2.55,2.52,2.61,2.59,2.51,2.58,2.61,3.04,2.99,3.01,3.05
Democratic Republic of the Congo,tCO2e per capita,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03
Fiji,tCO2e per capita,1.45,1.36,1.04,0.91,1.40,1.24,1.20,1.52,1.87,2.45,2.31,2.32,2.40,2.54
Lesotho,tCO2e per capita,1.02,1.04,1.07,1.11,1.14,1.16,1.19,1.19,1.19,1.13,1.14,1.21,1.15,1.05
Niger,tCO2e per capita,0.05,0.05,0.05,0.06,0.07,0.08,0.10,0.10,0.11,0.10,0.10,0.09,0.09,0.09
Bahamas,tCO2e per capita,5.37,5.32,6.87,4.60,6.73,5.01,5.25,7.85,6.38,5.45,4.75,5.16,5.26,5.08
Bhutan,tCO2e per capita,0.57,0.56,0.60,0.54,0.68,0.96,1.10,1.20,1.32,1.33,1.57,1.69,2.20,2.24
Maldives,tCO2e per capita,2.32,2.33,2.45,2.50,2.55,2.59,2.79,2.63,3.02,2.86,3.04,3.02,3.03,3.14
South Sudan,tCO2e per capita,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.15,0.18,0.16,0.14,0.14,0.14
Malta,tCO2e per capita,6.58,6.73,6.71,6.14,6.23,6.19,6.58,5.72,5.62,3.90,3.07,3.32,3.16,3.09
Malawi,tCO2e per capita,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.08
Liberia,tCO2e per capita,0.20,0.18,0.15,0.13,0.20,0.21,0.23,0.21,0.27,0.27,0.30,0.26,0.26,0.27
Barbados,tCO2e per capita,4.84,4.89,5.76,5.68,5.19,5.36,5.14,5.06,4.43,4.42,4.50,4.09,4.21,4.13
Rwanda,tCO2e per capita,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09
Chad,tCO2e per capita,0.08,0.08,0.08,0.08,0.08,0.09,0.05,0.05,0.07,0.05,0.07,0.07,0.07,0.06
Sierra Leone,tCO2e per capita,0.11,0.09,0.09,0.09,0.09,0.11,0.13,0.15,0.16,0.13,0.13,0.13,0.13,0.13
Eswatini,tCO2e per capita,0.98,1.01,0.98,1.02,0.95,0.96,1.10,1.42,0.82,0.89,1.06,0.88,0.87,0.85
Eritrea,tCO2e per capita,0.19,0.19,0.13,0.16,0.16,0.17,false,false,false,false,false,false,false,false
Somalia,tCO2e per capita,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
Cape Verde,tCO2e per capita,1.01,1.06,0.98,1.07,1.13,1.23,0.99,0.97,0.94,0.94,1.01,1.08,1.12,1.15
Belize,tCO2e per capita,1.52,1.59,1.42,1.64,1.67,1.69,1.33,1.38,1.33,1.78,1.65,1.64,1.60,1.62
Seychelles,tCO2e per capita,8.66,7.54,7.96,6.00,4.94,3.73,4.77,3.67,5.33,5.14,6.27,6.12,6.26,6.38
Gambia,tCO2e per capita,0.22,0.21,0.22,0.22,0.24,0.24,0.24,0.22,0.25,0.25,0.25,0.24,0.25,0.25
Burundi,tCO2e per capita,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05
Timor-Leste,tCO2e per capita,0.18,0.18,0.19,0.21,0.21,0.22,0.26,0.38,0.44,0.42,0.41,0.40,0.41,0.43
Antigua and Barbuda,tCO2e per capita,4.65,4.84,4.89,5.11,5.16,4.97,5.07,5.04,4.99,5.13,5.19,5.15,5.25,5.07
